Id,Group,Weight,Weightmg
705,6,0.0862,8.62
706,6,0.089,8.9
707,6,0.0896,8.96
708,6,0.0881,8.81
709,6,0.0688,6.88
710,6,0.0822,8.22
711,6,0.0817,8.17
712,6,0.086,8.6
713,6,0.0828,8.28
714,6,0.0728,7.28
715,6,0.0839,8.39
716,6,0.0817,8.17
717,6,0.0884,8.84
718,6,0.0905,9.05
719,6,0.0875,8.75
720,6,0.0686,6.86
721,6,0.0835,8.35
722,6,0.0795,7.95
723,6,0.0522,5.22
724,6,0.0719,7.19
725,6,0.0617,6.17
726,6,0.0966,9.66
727,6,0.0836,8.36
728,6,0.0867,8.67
729,6,0.0854,8.54
730,6,0.0919,9.19
731,6,0.0762,7.62
732,6,0.0765,7.65
733,6,0.0779,7.79
734,6,0.0634,6.34
735,6,0.0605,6.05
736,6,0.0647,6.47
737,6,0.075,7.5
738,6,0.0984,9.84
739,6,0.0765,7.65
740,6,0.0862,8.62
741,6,0.09,9
742,6,0.0752,7.52
743,6,0.0857,8.57
744,6,0.0879,8.79
745,6,0.061,6.1
746,6,0.0539,5.39
747,6,0.0617,6.17
748,6,0.0669,6.69
749,6,0.0549,5.49
750,6,0.0885,8.85
751,6,0.0756,7.56
752,6,0.0738,7.38
753,6,0.0776,7.76
754,6,0.0842,8.42
755,6,0.0626,6.26
756,6,0.0846,8.46
757,6,0.0831,8.31
758,6,0.0763,7.63
759,6,0.0632,6.32
760,6,0.0781,7.81
761,6,0.0924,9.24
762,6,0.0651,6.51
763,6,0.084,8.4
764,6,0.0711,7.11
765,6,0.0645,6.45
766,6,0.07108,7.108
767,6,0.0823,8.23
768,6,0.0964,9.64
769,6,0.074,7.4
770,6,0.081,8.1
771,6,0.07658,7.658
772,6,0.0702,7.02
773,6,0.0726,7.26
774,6,0.0977,9.77
775,6,0.086,8.6
776,6,0.0831,8.31
777,6,0.0758,7.58
778,6,0.0927,9.27
779,6,0.0572,5.72
780,6,0.1013,10.13
781,6,0.094,9.4
782,6,0.0763,7.63
783,6,0.0906,9.06
784,6,0.1007,10.07
785,6,0.0566,5.66
786,6,0.0753,7.53
787,6,0.084,8.4
788,6,0.07115,7.115
789,6,0.08325,8.325
790,6,0.0698,6.98
791,6,0.08224,8.224
792,6,0.07996,7.996
793,6,0.082,8.2
794,6,0.07651,7.651
795,6,0.0896,8.96
796,6,0.1096,10.96
797,6,0.08162,8.162
798,6,0.07986,7.986
799,6,0.06853,6.853
800,6,0.07352,7.352
801,6,0.08635,8.635
802,6,0.0675,6.75
803,6,0.0824,8.24
804,6,0.0779,7.79
805,6,0.0845,8.45
806,6,0.0712,7.12
807,6,0.0653,6.53
808,6,0.0741,7.41
809,6,0.105,10.5
810,6,0.05279,5.279
811,6,0.0663,6.63
812,6,0.0905,9.05
813,6,0.0709,7.09
814,6,0.1005,10.05
815,6,0.0752,7.52
816,6,0.0863,8.63
817,6,0.0824,8.24
818,10,0.079,7.9
819,10,0.0995,9.95
820,10,0.0986,9.86
821,10,0.0741,7.41
822,10,0.0835,8.35
823,10,0.0596,5.96
824,10,0.0856,8.56
825,10,0.0693,6.93
826,10,0.0857,8.57
827,10,0.0859,8.59
828,10,0.0656,6.56
829,10,0.0774,7.74
830,10,0.0775,7.75
831,10,0.0864,8.64
832,10,0.0808,8.08
833,10,0.0713,7.13
834,10,0.0775,7.75
835,10,0.1007,10.07
